0,870279,266919,277.586666666667,280.41,11.9900798759891,10.0256259291091,287.27,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
2,869833.403030629,265887.993967047,277.369879603606,280.666503409211,11.9567074442745,10.2890142132024,287.290390052653,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
4,869103.313602672,265214.840353262,277.358668460346,280.663742446186,11.912267090252,10.5185324733524,287.304866206922,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
6,868436.241117332,264741.073291822,277.358630250855,280.667628392005,11.8806973827013,10.6986312609467,287.316441573189,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
8,867892.953729591,264409.248774699,277.365660341489,280.675866201413,11.8631867017397,10.8405976528479,287.3266595979,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
10,867467.668125189,264173.417123836,277.376504755519,280.686574764545,11.8556655854198,10.9554136927591,287.336565328653,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
12,867140.983918418,264005.43706677,277.389379352141,280.6986961649,11.8544783915337,11.0498880089135,287.346640624154,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
14,866892.837217509,263885.764799729,277.403204733735,280.711568498466,11.8568728883218,11.1289851146686,287.357103891071,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
16,866706.1508735,263801.274826361,277.417387240185,280.724808102735,11.8610700583287,11.1962705670671,287.368009526458,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
18,866567.32213762,263742.80188161,277.431610975268,280.738194705696,11.8659993147633,11.2543873717705,287.379332152718,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
20,866465.730092539,263703.798700229,277.445713775517,280.751601357744,11.8710519311002,11.3053489936618,287.391012202843,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
22,866393.143311665,263679.484867478,277.459621355561,280.764957218348,11.8759079972238,11.3506951960768,287.402979590809,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
24,866343.172688377,263666.329429897,277.473305935839,280.778223186118,11.880419186698,11.3916191251628,287.415165648813,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
26,866310.852320312,263661.67938598,277.486764996354,280.791379289147,11.8845357469565,11.4290433578092,287.42750867015,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
28,866292.306747518,263663.533131891,277.500007454966,280.804415876117,11.8882612443603,11.4636874271746,287.439955744898,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
30,866284.506437094,263670.359388968,277.513047449181,280.817329515796,11.891625800083,11.4961102233569,287.452462961321,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
32,866285.07615945,263680.988069874,277.5258999882,280.830119789598,11.8946706563867,11.5267488080626,287.464994575678,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
34,866292.152550327,263694.514364796,277.538579592097,280.842788090063,11.8974394685972,11.5559434120497,287.477521998347,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
36,866304.271503346,263710.242023717,277.5510991051,280.855336443796,11.8999739205278,11.5839604852828,287.490022592918,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
38,866320.282999577,263727.629481924,277.563469747784,280.867767253442,11.9023115004322,11.6110077594553,287.502478654049,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
40,866339.28320779,263746.25864921,277.575700919233,280.88008286138,11.9044848605642,11.6372481304516,287.514876430546,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
42,866360.562446296,263765.803456548,277.587800549946,280.892285567389,11.9065217087786,11.6628088113592,287.527205360588,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
44,866383.563532612,263786.011993797,277.599775169221,280.904377464576,11.9084452508251,11.6877897444255,287.539457391995,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
46,866407.849590776,263806.687702903,277.611630237538,280.916360515416,11.9102746388845,11.7122691786178,287.551626467633,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
48,866433.078282343,263827.678903664,277.623370254304,280.928236488782,11.9120255923756,11.7363087785745,287.56370808353,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
50,866458.981781074,263848.867389405,277.634999003459,280.940007031071,11.9137108901826,11.7599570240687,287.575698959442,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
52,866485.350785748,263870.162204455,277.64651964242,280.95167364138,11.9153409028402,11.7832523143722,287.587596761518,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
54,866512.022046757,263891.49267137,277.657934867681,280.963237724527,11.9169239887335,11.8062250379529,287.599399896814,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
56,866538.868455023,263912.80467654,277.669246976903,280.974700580952,11.9184668886511,11.8288994581043,287.611107342715,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
58,866565.791278434,263934.056383779,277.680457975841,280.986063442975,11.9199750107971,11.8512949708195,287.622718520552,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
60,866592.714034806,263955.216021047,277.69156961867,280.997327470556,11.9214527046973,11.8734272494513,287.634233192032,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
62,866619.5776671,263976.259232671,277.702583475534,281.008493775124,11.9229034549707,11.8953090075176,287.64565138206,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
64,866646.336771447,263997.167771311,277.713500957762,281.019563417742,11.9243300649202,11.9169506932668,287.656973316451,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
66,866672.956602773,264017.927852188,277.724323360102,281.030537424487,11.9257347838473,11.9383609510663,287.668199374928,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
68,866699.410765106,264038.52939283,277.735051876103,281.041416785626,11.927119427663,11.9595470429158,287.679330053992,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
70,866725.679354073,264058.964980205,277.745687624454,281.052202465486,11.9284854605316,11.9805151266526,287.690365938265,869696.003149866,266412.560314447,279.027772114317,282.35152424405,12.0767864759164,14.3660620998728,289.018510892447
