0,6000
2,6000
4,6000
6,6000
8,6000
10,6000
12,6000
14,6000
16,6000
18,6000
20,6000
22,6000
24,6000
26,6000
28,6000
30,6000
32,6000
34,6000
36,6000
38,6000
40,6000
42,6000
44,6000
46,6000
48,6000
50,6000
52,6000
54,6000
56,6000
58,6000
60,6000
62,6000
64,6000
66,6000
68,6000
70,6000
72,6000
74,6000
76,6000
78,6000
80,6000
82,6000
84,6000
86,6000
88,6000
90,6000
92,6000
94,6000
96,6000
98,6000
100,6000
102,6000
104,6000
106,6000
108,6000
110,6000
112,6000
114,6000
116,6000
118,6000
120,6000
122,6000
124,6000
126,6000
128,6000
130,6000
132,6000
134,6000
136,6000
138,6000
140,6000
142,6000
144,6000
146,6000
148,6000
150,6000
152,6000
154,6000
156,6000
158,6000
160,6000
162,6000
164,6000
166,6000
168,6000
170,6000
172,6000
174,6000
176,6000
178,6000
180,6000
182,6000
184,6000
186,6000
188,6000
190,6000
192,6000
194,6000
196,6000
198,6000
200,6000
202,6000
204,6000
206,6000
208,6000
210,6000
212,6000
214,6000
216,6000
218,6000
220,6000
222,6000
224,6000
226,6000
228,6000
230,6000
232,6000
234,6000
236,6000
238,6000
240,6000
242,6000
244,6000
246,6000
248,6000
250,6000
252,6000
254,6000
256,6000
258,6000
260,6000
262,6000
264,6000
266,6000
268,6000
270,6000
272,6000
274,6000
276,6000
278,6000
280,6000
282,6000
284,6000
286,6000
288,6000
290,6000
292,6000
294,6000
296,6000
298,6000
300,6000
302,6000
304,6000
306,6000
308,6000
310,6000
312,6000
314,6000
316,6000
318,6000
320,6000
322,6000
324,6000
326,6000
328,6000
330,6000
332,6000
334,6000
336,6000
338,6000
340,6000
342,6000
344,6000
346,6000
348,6000
350,6000
352,6000
354,6000
356,6000
358,6000
360,6000
362,6000
364,6000
366,6000
368,6000
370,6000
372,6000
374,6000
376,6000
378,6000
380,6000
382,6000
384,6000
386,6000
388,6000
390,6000
392,6000
394,6000
396,6000
398,6000
400,6000
402,6000
404,6000
406,6000
408,6000
410,6000
412,6000
414,6000
416,6000
418,6000
420,6000
422,6000
424,6000
426,6000
428,6000
430,6000
432,6000
434,6000
436,6000
438,6000
440,6000
442,6000
444,6000
446,6000
448,6000
450,6000
452,6000
454,6000
456,6000
458,6000
460,6000
462,6000
464,6000
466,6000
468,6000
470,6000
472,6000
474,6000
476,6000
478,6000
480,6000
482,6000
484,6000
486,6000
488,6000
490,6000
492,6000
494,6000
496,6000
498,6000
500,6000
502,6000
504,6000
506,6000
508,6000
510,6000
512,6000
514,6000
516,6000
518,6000
520,6000
522,6000
524,6000
526,6000
528,6000
530,6000
532,6000
534,6000
536,6000
538,6000
540,6000
542,6000
544,6000
546,6000
548,6000
550,6000
552,6000
554,6000
556,6000
558,6000
560,6000
562,6000
564,6000
566,6000
568,6000
570,6000
572,6000
574,6000
576,6000
578,6000
580,6000
582,6000
